Opponent_Name;Opponent_bet/Total_chips;Opponent_hand_strength
FHSHWA3-reflex;13/49;26
FHSHWA4-mem;13/285;25

FHSHWA4-mem;13/285;25
FHSHWA4-mem;13/285;25
FHSHWA1-reflex;12/36;32
FHSHWA1-reflex;12/36;32
FHSHWA2-reflex;13/456;30
FHSHWA1-reflex;12/36;32
FHSHWA2-reflex;13/456;30
FHSHWA3-reflex;13/36;61
FHSHWA2-reflex;13/456;30
FHSHWA4-mem;13/272;27
FHSHWA4-mem;13/272;27
FHSHWA3-reflex;13/36;61
FHSHWA4-mem;13/272;27
FHSHWA1-reflex;12/23;34
FHSHWA1-reflex;12/23;34
FHSHWA3-reflex;12/75;27
FHSHWA3-reflex;12/75;27
FHSHWA4-mem;12/259;26
FHSHWA3-reflex;12/75;27
FHSHWA4-mem;12/259;26
FHSHWA2-reflex;126/431;51
FHSHWA2-reflex;126/431;51
FHSHWA4-mem;126/247;65
FHSHWA4-mem;126/247;65
FHSHWA4-mem;126/247;65
FHSHWA1-reflex;17/46;44
FHSHWA2-reflex;17/305;26
FHSHWA2-reflex;17/305;26
FHSHWA3-reflex;17/49;39

FHSHWA3-reflex;17/49;39
FHSHWA4-mem;17/400;25

FHSHWA4-mem;17/400;25
FHSHWA2-reflex;113/288;39
FHSHWA2-reflex;113/288;39
FHSHWA4-mem;113/383;37
FHSHWA4-mem;113/383;37
FHSHWA4-mem;113/383;37
FHSHWA1-reflex;14/86;38
FHSHWA1-reflex;14/86;38
FHSHWA2-reflex;14/424;28
FHSHWA1-reflex;14/86;38
FHSHWA3-reflex;14/20;56
FHSHWA3-reflex;14/20;56
FHSHWA2-reflex;14/424;28
FHSHWA2-reflex;14/424;28
FHSHWA4-mem;14/270;31
FHSHWA4-mem;14/270;31
FHSHWA3-reflex;14/20;56
FHSHWA4-mem;14/270;31
FHSHWA1-reflex;22/72;25
FHSHWA2-reflex;22/410;26
FHSHWA2-reflex;22/410;26
FHSHWA4-mem;22/256;39
FHSHWA4-mem;22/256;39
FHSHWA2-reflex;22/410;26
FHSHWA4-mem;22/256;39
FHSHWA1-reflex;27/50;27
FHSHWA2-reflex;27/388;52
FHSHWA2-reflex;27/388;52
FHSHWA3-reflex;27/40;35
FHSHWA3-reflex;27/40;35
FHSHWA4-mem;27/322;37
FHSHWA4-mem;27/322;37
FHSHWA4-mem;27/322;37
FHSHWA2-reflex;27/388;52
FHSHWA3-reflex;27/40;35
FHSHWA2-reflex;24/469;26
FHSHWA3-reflex;13/13;29
FHSHWA3-reflex;13/13;29
FHSHWA4-mem;24/295;34
FHSHWA4-mem;24/295;34
FHSHWA4-mem;24/295;34
FHSHWA1-reflex;2/2;51
FHSHWA1-reflex;2/2;51
FHSHWA1-reflex;2/2;51
FHSHWA2-reflex;23/445;26
FHSHWA4-mem;23/353;34
FHSHWA4-mem;23/353;34
FHSHWA2-reflex;23/445;26
FHSHWA2-reflex;23/445;26
FHSHWA4-mem;23/353;34
FHSHWA1-reflex;6/6;39
FHSHWA1-reflex;6/6;39
FHSHWA1-reflex;6/6;39
FHSHWA2-reflex;22/422;32
FHSHWA2-reflex;22/422;32
FHSHWA2-reflex;22/422;32
FHSHWA1-reflex;18/18;33
FHSHWA1-reflex;18/18;33
FHSHWA2-reflex;173/432;52
FHSHWA4-mem;173/350;54
FHSHWA1-reflex;18/18;33
FHSHWA4-mem;173/350;54
FHSHWA2-reflex;173/432;52
FHSHWA2-reflex;173/432;52
FHSHWA4-mem;173/350;54
FHSHWA4-mem;22/541;26
FHSHWA4-mem;22/541;26
FHSHWA4-mem;22/541;26
FHSHWA2-reflex;147/281;36
FHSHWA2-reflex;147/281;36
FHSHWA4-mem;147/519;39
FHSHWA4-mem;147/519;39
FHSHWA4-mem;147/519;39
FHSHWA4-mem;22/666;26
FHSHWA4-mem;22/666;26
FHSHWA4-mem;22/666;26
FHSHWA2-reflex;22/156;34
FHSHWA2-reflex;22/156;34
FHSHWA2-reflex;22/156;34
FHSHWA4-mem;42/666;27
FHSHWA4-mem;42/666;27
FHSHWA4-mem;42/666;27
FHSHWA2-reflex;44/176;38
FHSHWA2-reflex;44/176;38
FHSHWA4-mem;44/624;28
FHSHWA4-mem;44/624;28
FHSHWA4-mem;44/624;28
FHSHWA2-reflex;43/220;29
FHSHWA2-reflex;43/220;29
FHSHWA4-mem;43/580;24
FHSHWA4-mem;43/580;24
FHSHWA4-mem;43/580;24
FHSHWA2-reflex;42/263;34
FHSHWA2-reflex;42/263;34
FHSHWA2-reflex;42/263;34
FHSHWA4-mem;42/495;26
FHSHWA4-mem;42/495;26
FHSHWA2-reflex;43/347;38
FHSHWA2-reflex;43/347;38
FHSHWA2-reflex;43/347;38
FHSHWA4-mem;43/453;24
FHSHWA4-mem;43/453;24
FHSHWA4-mem;43/453;24
FHSHWA2-reflex;42/390;26
FHSHWA2-reflex;42/390;26
FHSHWA4-mem;43/410;31
FHSHWA4-mem;43/410;31
FHSHWA4-mem;43/410;31
FHSHWA2-reflex;42/390;26
FHSHWA2-reflex;42/347;25
FHSHWA2-reflex;42/347;25
FHSHWA2-reflex;42/347;25
FHSHWA4-mem;42/495;29
FHSHWA4-mem;42/495;29
FHSHWA4-mem;42/495;29
FHSHWA2-reflex;42/347;26
FHSHWA2-reflex;42/347;26
FHSHWA2-reflex;42/347;26
FHSHWA4-mem;82/495;30
FHSHWA4-mem;82/495;30
FHSHWA4-mem;82/495;30
FHSHWA2-reflex;82/387;26
FHSHWA2-reflex;82/387;26
FHSHWA2-reflex;82/387;26
FHSHWA4-mem;82/495;30
FHSHWA4-mem;82/495;30
FHSHWA2-reflex;82/223;24
FHSHWA2-reflex;82/223;24
FHSHWA2-reflex;60/60;35
FHSHWA2-reflex;60/60;35
FHSHWA2-reflex;60/60;35
FHSHWA4-mem;82/680;25
FHSHWA4-mem;82/680;25
FHSHWA4-mem;82/680;25
FHSHWA2-reflex;82/202;34
FHSHWA2-reflex;82/202;34
FHSHWA2-reflex;82/202;34
FHSHWA2-reflex;84/284;26
FHSHWA2-reflex;84/284;26
FHSHWA2-reflex;84/284;26
FHSHWA4-mem;84/516;36
FHSHWA4-mem;84/516;36
FHSHWA4-mem;84/516;36
FHSHWA2-reflex;82/200;27
FHSHWA2-reflex;82/200;27
FHSHWA2-reflex;82/200;27
FHSHWA4-mem;162/518;25
FHSHWA4-mem;162/518;25
FHSHWA2-reflex;162/282;47
FHSHWA2-reflex;162/282;47
FHSHWA2-reflex;162/282;47
FHSHWA4-mem;162/356;34
FHSHWA4-mem;162/356;34
FHSHWA4-mem;162/356;34
FHSHWA2-reflex;162/282;53
